iter	Passed	Remaining
722	8423	3227
723	8432	3214
724	8442	3202
725	8452	3189
726	8460	3177
727	8474	3166
728	8484	3154
729	8492	3141
730	8504	3129
731	8514	3117
732	8522	3104
733	8532	3092
734	8539	3078
735	8548	3066
736	8556	3053
737	8566	3041
738	8574	3028
739	8585	3016
740	8592	3003
741	8604	2991
742	8615	2979
743	8623	2967
744	8633	2954
745	8640	2942
746	8652	2930
747	8663	2918
748	8671	2905
749	8681	2893
750	8689	2881
751	8699	2869
752	8706	2855
753	8719	2844
754	8729	2832
755	8738	2820
756	8748	2808
757	8755	2795
758	8766	2783
759	8778	2772
760	8790	2760
761	8800	2748
762	8811	2736
763	8819	2724
764	8834	2713
765	8845	2702
766	8852	2689
767	8864	2677
768	8873	2665
769	8880	2652
770	8889	2640
771	8896	2627
772	8905	2615
773	8913	2602
774	8920	2589
775	8930	2577
776	8939	2565
777	8949	2553
778	8958	2541
779	8968	2529
780	8982	2518
781	8996	2507
782	9009	2496
783	9022	2485
784	9031	2473
785	9039	2461
786	9046	2448
787	9053	2435
788	9061	2423
789	9069	2410
790	9076	2398
791	9084	2385
792	9095	2374
793	9105	2362
794	9115	2350
795	9127	2339
796	9136	2327
797	9145	2315
798	9155	2303
799	9163	2290
800	9176	2279
801	9186	2267
802	9194	2255
803	9204	2243
804	9212	2231
805	9224	2220
806	9235	2208
807	9243	2196
808	9255	2185
809	9263	2172
810	9276	2161
811	9286	2149
812	9294	2137
813	9307	2126
814	9316	2114
815	9324	2102
816	9332	2090
817	9340	2078
818	9349	2066
819	9356	2053
820	9365	2041
821	9372	2029
822	9380	2017
823	9388	2005
824	9395	1992
825	9404	1981
826	9411	1968
827	9423	1957
828	9432	1945
829	9441	1933
830	9453	1922
831	9461	1910
832	9475	1899
833	9487	1888
834	9505	1878
835	9521	1867
836	9533	1856
837	9545	1845
838	9555	1833
839	9569	1822
840	9580	1811
841	9590	1799
842	9601	1788
843	9613	1776
844	9621	1764
845	9635	1753
846	9646	1742
847	9655	1730
848	9668	1719
849	9679	1708
850	9688	1696
851	9700	1685
852	9711	1673
853	9720	1661
854	9733	1650
855	9745	1639
856	9754	1627
857	9766	1616
858	9778	1605
859	9785	1593
860	9797	1581
861	9808	1570
862	9817	1558
863	9826	1546
864	9834	1534
865	9843	1523
866	9851	1511
867	9860	1499
868	9868	1487
869	9877	1476
870	9885	1464
871	9896	1452
872	9907	1441
873	9920	1430
874	9931	1418
875	9944	1407
876	9955	1396
877	9964	1384
878	9977	1373
879	9986	1361
880	9996	1350
881	10006	1338
882	10015	1327
883	10025	1315
884	10034	1303
885	10044	1292
886	10057	1281
887	10069	1270
888	10078	1258
889	10089	1246
890	10097	1235
891	10108	1223
892	10117	1212
893	10126	1200
894	10135	1189
895	10143	1177
896	10155	1166
897	10165	1154
898	10173	1142
899	10180	1131
900	10188	1119
901	10195	1107
902	10206	1096
903	10214	1084
904	10223	1073
905	10232	1061
906	10239	1049
907	10247	1038
908	10254	1026
909	10262	1014
910	10269	1003
911	10276	991
912	10285	980
913	10292	968
914	10302	957
915	10309	945
916	10318	933
917	10325	922
918	10333	910
919	10341	899
920	10349	887
921	10357	876
922	10365	864
923	10373	853
924	10381	841
925	10389	830
926	10399	818
927	10406	807
928	10416	796
929	10424	784
930	10437	773
931	10447	762
932	10456	750
933	10468	739
934	10479	728
935	10489	717
936	10500	706
937	10510	694
938	10520	683
939	10529	672
940	10536	660
941	10545	649
942	10555	638
943	10565	626
944	10576	615
945	10585	604
946	10595	592
947	10603	581
948	10614	570
949	10623	559
950	10634	547
951	10643	536
952	10652	525
953	10662	514
954	10670	502
955	10682	491
956	10694	480
957	10703	469
958	10714	458
959	10722	446
960	10732	435
961	10742	424
962	10751	413
963	10762	401
964	10773	390
965	10782	379
966	10792	368
967	10801	357
968	10813	345
969	10822	334
970	10831	323
971	10839	312
972	10847	301
973	10857	289
974	10864	278
975	10873	267
976	10879	256
977	10888	244
978	10895	233
979	10903	222
980	10911	211
981	10920	200
982	10927	188
983	10935	177
984	10946	166
985	10957	155
986	10967	144
987	10977	133
988	10987	122
989	10997	111
990	11007	99
991	11018	88
992	11029	77
993	11038	66
994	11045	55
995	11056	44
996	11063	33
997	11076	22
998	11087	11
999	11095	0
